,Id,Categoria,Link_receta
0,58251,Aperitivos y tapas,https://www.recetasgratis.net/receta-de-sandwich-de-pollo-bacon-y-huevo-58251.html
1,66067,Aperitivos y tapas,https://www.recetasgratis.net/receta-de-bocadillo-de-jamon-serrano-y-queso-con-tomate-66067.html
2,58973,Aperitivos y tapas,https://www.recetasgratis.net/receta-de-sandwich-de-aguacate-y-atun-58973.html
3,57328,Aperitivos y tapas,https://www.recetasgratis.net/receta-de-empanadas-de-chorizo-y-queso-57328.html
4,52312,Aperitivos y tapas,https://www.recetasgratis.net/receta-de-empanadillas-de-atun-y-huevo-52312.html
5,61558,Arroces y cereales,https://www.recetasgratis.net/receta-de-arroz-con-zanahoria-y-cebolla-61558.html
6,72227,Arroces y cereales,https://www.recetasgratis.net/receta-de-risotto-de-setas-y-gambas-72227.html
7,57460,Arroces y cereales,https://www.recetasgratis.net/receta-de-arroz-con-nueces-y-arandanos-57460.html
8,61994,Arroces y cereales,https://www.recetasgratis.net/receta-de-risotto-de-pollo-con-champinones-61994.html
9,63488,Arroces y cereales,https://www.recetasgratis.net/receta-de-paella-de-conejo-y-verduras-63488.html
10,74177,Postres,https://www.recetasgratis.net/receta-de-tarta-de-yogur-y-fresas-74177.html
11,74047,Postres,https://www.recetasgratis.net/receta-de-tarta-de-queso-y-limon-74047.html
12,74071,Postres,https://www.recetasgratis.net/receta-de-helado-de-dulce-de-leche-74071.html
13,73067,Postres,https://www.recetasgratis.net/receta-de-helado-de-pistacho-73067.html
14,69177,Postres,https://www.recetasgratis.net/receta-de-helado-de-chocolate-y-avellanas-69177.html
15,27593,Mariscos,https://www.recetasgratis.net/receta-de-salteado-de-pulpo-con-verduras-27593.html
16,17446,Mariscos,https://www.recetasgratis.net/receta-de-salpicon-de-pulpo-con-patatas-17446.html
17,11350,Mariscos,https://www.recetasgratis.net/receta-de-camarones-con-ajo-y-limon-11350.html
18,73908,Mariscos,https://www.recetasgratis.net/receta-de-camarones-al-curry-73908.html
19,73414,Mariscos,https://www.recetasgratis.net/receta-de-camarones-con-tocino-y-queso-73414.html
20,38301,Pasta,https://www.recetasgratis.net/receta-de-espaguetis-con-apio-y-crema-38301.html
21,71779,Pasta,https://www.recetasgratis.net/receta-de-espaguetis-con-brocoli-71779.html
22,57618,Pasta,https://www.recetasgratis.net/receta-de-espaguetis-con-verduras-y-tomate-57618.html
23,58397,Pasta,https://www.recetasgratis.net/receta-de-pizza-de-atun-y-jamon-york-58397.html
24,65165,Pasta,https://www.recetasgratis.net/receta-de-pizza-con-rucula-y-tomates-cherry-65165.html
25,74058,Pescado,https://www.recetasgratis.net/receta-de-merluza-en-salsa-de-almendras-74058.html
26,26030,Pescado,https://www.recetasgratis.net/receta-de-merluza-con-habas-26030.html
27,74102,Pescado,https://www.recetasgratis.net/receta-de-bacalao-con-alcachofas-74102.html
28,74042,Pescado,https://www.recetasgratis.net/receta-de-bacalao-con-coliflor-74042.html
29,61158,Pescado,https://www.recetasgratis.net/receta-de-bacalao-con-patatas-y-pimientos-61158.html
30,73467,Guisos y Potajes,https://www.recetasgratis.net/receta-de-guiso-de-calabaza-73467.html
31,67278,Guisos y Potajes,https://www.recetasgratis.net/receta-de-guiso-de-patatas-con-calamares-y-gambas-67278.html
32,73904,Guisos y Potajes,https://www.recetasgratis.net/receta-de-potaje-de-acelgas-73904.html
33,64313,Guisos y Potajes,https://www.recetasgratis.net/receta-de-potaje-de-garbanzos-con-bacalao-y-espinacas-64313.html
34,12973,Guisos y Potajes,https://www.recetasgratis.net/receta-de-guiso-de-cerdo-con-ciruelas-y-nueces-12973.html
35,74122,Huevos y lácteos,https://www.recetasgratis.net/receta-de-revuelto-de-esparragos-y-gambas-74122.html
36,74021,Huevos y lácteos,https://www.recetasgratis.net/receta-de-tortitas-de-calabaza-74021.html
37,60235,Huevos y lácteos,https://www.recetasgratis.net/receta-de-huevos-revueltos-con-champinones-y-jamon-60235.html
38,55526,Huevos y lácteos,https://www.recetasgratis.net/receta-de-huevos-revueltos-con-tomate-y-cebolla-55526.html
39,51668,Huevos y lácteos,https://www.recetasgratis.net/receta-de-tortilla-de-espinacas-y-atun-51668.html
40,74189,Legumbres,https://www.recetasgratis.net/receta-de-garbanzos-con-repollo-74189.html
41,73993,Legumbres,https://www.recetasgratis.net/receta-de-lentejas-con-calabaza-73993.html
42,73564,Legumbres,https://www.recetasgratis.net/receta-de-alubias-con-almejas-73564.html
43,60482,Legumbres,https://www.recetasgratis.net/receta-de-alubias-con-panceta-y-chorizo-60482.html
44,11994,Legumbres,https://www.recetasgratis.net/receta-de-lentejas-con-patatas-y-calabaza-11994.html
45,51095,Aves y caza,https://www.recetasgratis.net/receta-de-pollo-entero-al-horno-facil-y-rapido-51095.html
46,17249,Aves y caza,https://www.recetasgratis.net/receta-de-pollos-con-almendras-17249.html
47,6504,Aves y caza,https://www.recetasgratis.net/receta-de-pollo-con-champinones-6504.html
48,51503,Aves y caza,https://www.recetasgratis.net/receta-de-solomillo-de-pavo-en-salsa-de-naranja-y-mostaza-51503.html
49,57505,Aves y caza,https://www.recetasgratis.net/receta-de-pechuga-de-pavo-rellena-con-cebolla-caramelizada-57505.html
50,10164,Carne,https://www.recetasgratis.net/receta-de-solomillo-con-salsa-de-castanas-10164.html
51,59940,Carne,https://www.recetasgratis.net/receta-de-solomillo-en-salsa-de-cebolla-59940.html
52,62103,Carne,https://www.recetasgratis.net/receta-de-manitas-de-cerdo-en-salsa-62103.html
53,60589,Carne,https://www.recetasgratis.net/receta-de-estofado-de-ternera-con-alcachofas-60589.html
54,58520,Carne,https://www.recetasgratis.net/receta-de-ternera-con-setas-estilo-chino-58520.html
55,65428,Ensaladas,https://www.recetasgratis.net/receta-de-ensalada-de-naranja-y-nueces-65428.html
56,52234,Ensaladas,https://www.recetasgratis.net/receta-de-ensalada-de-pina-y-queso-52234.html
57,55988,Ensaladas,https://www.recetasgratis.net/receta-de-ensalada-de-bacalao-y-naranja-55988.html
58,57448,Ensaladas,https://www.recetasgratis.net/receta-de-ensalada-de-pepino-japonesa-57448.html
59,50435,Ensaladas,https://www.recetasgratis.net/receta-de-refrescante-ensalada-con-pina-50435.html
